id,balance_cents,updated_at
1,2000,2026-02-15T14:10:37.144541+00:00
2,1997,2026-02-15T14:15:45.308436+00:00
3,1994,2026-02-15T14:15:45.312379+00:00
4,1991,2026-02-15T14:15:45.315477+00:00
5,1988,2026-02-15T14:30:22.571501+00:00
6,1985,2026-02-15T14:30:22.576257+00:00
7,1982,2026-02-15T14:30:22.587668+00:00
8,1979,2026-02-15T15:00:32.950610+00:00
9,1976,2026-02-15T15:00:32.953816+00:00
10,1922,2026-02-16T01:00:20.756709+00:00
11,1862,2026-02-16T01:00:20.761241+00:00
12,1817,2026-02-16T01:00:20.764665+00:00
13,1772,2026-02-16T01:30:18.934051+00:00
14,1709,2026-02-16T01:30:18.938300+00:00
15,1679,2026-02-16T01:30:18.941629+00:00
16,1619,2026-02-16T02:00:23.601960+00:00
17,1589,2026-02-16T02:00:23.621868+00:00
18,1569,2026-02-16T12:30:24.801491+00:00
19,1509,2026-02-16T12:30:24.805545+00:00
20,1479,2026-02-16T12:30:24.808962+00:00
21,1393,2026-02-16T13:01:22.832427+00:00
22,1299,2026-02-16T13:01:22.837251+00:00
23,1223,2026-02-16T13:01:22.841197+00:00
24,1138,2026-02-16T13:30:22.157247+00:00
25,1061,2026-02-16T13:30:22.165980+00:00
26,986,2026-02-18T14:51:26.289913+00:00
27,914,2026-02-18T14:51:26.294239+00:00
28,10000,2026-02-20 01:45:38
29,10300,2026-02-20T18:02:21.531328+00:00
30,10400,2026-02-20T18:02:21.531328+00:00
31,10500,2026-02-20T18:02:21.531328+00:00
32,10600,2026-02-20T18:02:21.531328+00:00
33,10700,2026-02-20T18:02:21.531328+00:00
34,10800,2026-02-20T18:02:21.531328+00:00
