id,version,ticker,city,market_type,side,suggested_price,confidence,edge_pct,estimated_temp,forecast_temp,market_yes_price,settled,actual_temp,pnl_cents,created_at
1,v2,KXHIGHTBOS-26FEB18-T43,BOS,high,no,86,0.55,85.71428571428571,38.0,38.0,14,1,,14,2026-02-18 13:17:25
2,v2,KXHIGHTBOS-26FEB18-B42.5,BOS,high,no,81,0.55,84.21052631578947,38.0,38.0,19,1,,19,2026-02-18 13:17:25
3,v2,KXLOWTNYC-26FEB18-B37.5,NYC,low,no,9,0.65,92.3076923076923,37.0,37.0,91,1,,-9,2026-02-18 13:17:25
4,v2,KXHIGHMIA-26FEB18-B82.5,MIA,high,no,70,0.5,90.0,77.0,77.0,30,1,,30,2026-02-18 13:17:25
5,v2,KXHIGHTATL-26FEB18-B72.5,ATL,high,no,89,0.5,45.45454545454545,68.0,68.0,11,1,,11,2026-02-18 13:17:25
6,v2,KXHIGHMIA-26FEB18-B80.5,MIA,high,no,44,0.5,80.35714285714286,77.0,77.0,56,1,,-44,2026-02-18 13:17:25
7,v2,KXLOWTPHIL-26FEB18-B33.5,PHI,low,no,2,0.5,83.6734693877551,37.0,37.0,98,1,,-2,2026-02-18 13:17:25
8,v2,KXHIGHPHIL-26FEB18-B48.5,PHI,high,no,74,0.5,57.692307692307686,45.0,45.0,26,1,,26,2026-02-18 13:17:25
9,v2,KXHIGHNY-26FEB18-T44,NYC,high,yes,54,0.55,16.666666666666664,44.0,44.0,54,1,,46,2026-02-18 13:17:25
10,v1,KXHIGHTBOS-26FEB18-T43,BOS,high,no,86,0.55,85.71428571428571,38.0,38.0,14,1,,14,2026-02-18 13:17:25
11,v1,KXHIGHTBOS-26FEB18-B42.5,BOS,high,no,81,0.55,84.21052631578947,38.0,38.0,19,1,,19,2026-02-18 13:17:25
12,v1,KXHIGHMIA-26FEB18-B82.5,MIA,high,no,70,0.5,90.0,77.0,77.0,30,1,,30,2026-02-18 13:17:25
13,v1,KXHIGHTATL-26FEB18-B72.5,ATL,high,no,89,0.5,45.45454545454545,68.0,68.0,11,1,,11,2026-02-18 13:17:25
14,v1,KXHIGHMIA-26FEB18-B80.5,MIA,high,no,44,0.5,80.35714285714286,77.0,77.0,56,1,,-44,2026-02-18 13:17:25
15,v1,KXLOWTPHIL-26FEB18-B33.5,PHI,low,no,2,0.5,83.6734693877551,37.0,37.0,98,1,,-2,2026-02-18 13:17:25
16,v1,KXHIGHPHIL-26FEB18-B48.5,PHI,high,no,74,0.5,57.692307692307686,45.0,45.0,26,1,,26,2026-02-18 13:17:25
17,v1,KXHIGHNY-26FEB18-T44,NYC,high,yes,54,0.55,16.666666666666664,44.0,44.0,54,1,,46,2026-02-18 13:17:25
